KREIRANJE 5/11/2020 	 STADION:    ID: 5 ,Naziv: Marakana, Grad: Beograd, Kapacitet: 35000 
BRISANJE 5/24/2020 	 VLASNIK:    ID: 3 , Ime: Neki Lopov , Prezime: Veliki lopov , Drzava: Tunisia

BRISANJE 5/24/2020 	 NAVIJAC:    ID: 3, Ime: Lazar , Prezime: Polic , Drzava: Pakistan

BRISANJE 5/24/2020 	 KLUB:    Naziv: lopovi,Grad: Torino 

BRISANJE 5/24/2020 	 IGRAC:    ID: 4 , Ime: Cristiano  , Prezime: Ronaldo

KREIRANJE 5/24/2020 	 KLUB:    Naziv: Juventus , Grad: Torino 

KREIRANJE 5/24/2020 	 IGRAC:    ID: 4 , Ime: Cristiano  , Prezime: Ronaldo

KREIRANJE 5/24/2020 	 NAVIJAC:    ID: 3, Ime: Dragan , Prezime: Kucic , Drzava: Austria

KREIRANJE 5/24/2020 	 IGRAC:    ID: 7 , Ime: Mohamed  , Prezime: Salah

KREIRANJE 5/24/2020 	 IGRAC:    ID: 8 , Ime: Sadio  , Prezime: Mane

KREIRANJE 5/24/2020 	 IGRAC:    ID: 9 , Ime: Sasa  , Prezime: Tomic

KREIRANJE 5/24/2020 	 IGRAC:    ID: 10 , Ime: Stefan  , Prezime: Radic

KREIRANJE 5/24/2020 	 IGRAC:    ID: 11 , Ime: Mirko  , Prezime: Katalic

KREIRANJE 5/24/2020 	 IGRAC:    ID: 12 , Ime: Stevan  , Prezime: Mihajlovic

KREIRANJE 5/25/2020 	 TRENER:    ID: 6, Ime: Slaven , Prezime: Brkic , Drzava: Mexico 

KREIRANJE 5/25/2020 	 TRENER:    ID: 7, Ime: Jurgen , Prezime: Klop , Drzava: Germany 

KREIRANJE 5/25/2020 	 TRENER:    ID: 8, Ime: Mauricio , Prezime: Sarri , Drzava: Italy 

KREIRANJE 5/26/2020 	 IGRAC:    ID: 13 , Ime: Karin  , Prezime: Benzema

KREIRANJE 6/7/2020 	 IGRAC:    ID: 14 , Ime: Sandro  , Prezime: Tonali

BRISANJE 6/7/2020 	                     KORISNIK:    ID: 4, Korisnicko ime: Dragan19g 

